,EV,TS,P,Type,E1,D3,time1
79,76,400001,100000,41018,0.0002076673131,0.0002076673131,260912.3047
522,450,700001,100000,41018,0.0005041217814,0.0005041217814,389458.634
1936,1790,500001,100000,41018,0.0001394678413,0.0001394678413,593604.185
2464,1852,1000001,100000,41018,0.002414155573,0.002414155573,334310.9766
3488,2729,800001,100000,41018,0.0001785049038,0.0001785049038,671992.4265
4316,2876,600001,100000,41018,0.0001051929423,0.0001051929423,131755.2791
4938,3224,500001,100000,41018,6.731342115e-05,6.731342115e-05,156492.2638
5974,4156,600001,100000,41018,0.001106479946,0.001106479946,122333.8762
6657,4634,400001,100000,41018,5.998207566e-05,5.998207566e-05,118866.6752
6968,4736,700001,100000,41018,0.0005369174732,0.0005369174732,75449.16318
8065,5705,700001,100000,41018,0.0004529836838,0.0004529836838,219917.2577
8547,5968,700001,100000,41018,0.0002467435497,0.0002467435497,446021.3409
9636,6969,700001,100000,41018,6.361599206e-05,6.361599206e-05,341556.7476
11363,8340,700001,100000,41018,0.0004976980474,0.0004976980474,123819.9458
11991,8783,400001,100000,41018,0.0002630186017,0.0002630186017,445029.7133
12860,9281,800001,100000,41018,0.0006644907187,0.0006644907187,602902.3636
13535,9873,400001,100000,41018,0.0002326315925,0.0002326315925,317745.0907
13791,9961,700001,100000,41018,0.0002624001513,0.0002624001513,345702.7135
14622,10551,700001,100000,41018,5.811477549e-05,5.811477549e-05,106797.0148
15345,10933,400001,100000,41018,0.0002644984852,0.0002644984852,287791.3945
16521,11975,800001,100000,41018,0.0005611990705,0.0005611990705,203508.6044
17244,12640,800001,100000,41018,0.0001894792587,0.0001894792587,175844.5802
17623,12918,700001,100000,41018,0.0003417967446,0.0003417967446,612869.5577
17738,12973,200001,100000,41018,0.0004945311713,0.0004945311713,365893.9773
18439,13383,200001,100000,41018,0.0004839808129,0.0004839808129,165955.9675
18543,13464,1100001,100000,41018,0.0004295812109,0.0004295812109,365703.4286
19608,14170,500001,100000,41018,0.0001927113144,0.0001927113144,241768.1234
19827,14216,1200001,100000,41018,0.001394205548,0.001394205548,38167.2511
21295,15610,900001,100000,41018,0.0007491189523,0.0007491189523,1797.519686
21381,15624,600001,100000,41018,3.876340572e-06,3.876340572e-06,201785.9696
21988,16076,600001,100000,41018,0.000478573585,0.000478573585,23579.21458
24360,18092,400001,100000,41018,4.890254298e-05,4.890254298e-05,151515.6529
25167,18537,1200001,100000,41018,0.0005060946427,0.0005060946427,260661.6888
25605,18859,900001,100000,41018,4.632717823e-05,4.632717823e-05,207484.7394
26519,19557,200001,100000,41018,0.000484502562,0.000484502562,202105.0513
26874,19621,400001,100000,41018,5.109197209e-05,5.109197209e-05,4479.279297
27728,19852,900001,100000,41018,0.0002472392821,0.0002472392821,137035.4599
28180,20030,600001,100000,41018,0.0004554479867,0.0004554479867,820842.1052
29292,21084,700001,100000,41018,2.519382082e-05,2.519382082e-05,96557.08056
30852,22412,700001,100000,41018,6.835906422e-05,6.835906422e-05,262421.0959
32340,23741,1000001,100000,41018,0.00292442912,0.00292442912,63190.33282
33130,24393,600001,100000,41018,0.000613615545,0.000613615545,163045.5377
33698,24596,900001,100000,41018,8.572887554e-05,8.572887554e-05,49670.04767
34217,24855,200001,100000,41018,0.0004872066139,0.0004872066139,80246.58684
35390,25929,700001,100000,41018,0.0004541604816,0.0004541604816,469542.9921
36944,27392,700001,100000,41018,0.001338726242,0.001338726242,141137.6598
37436,27662,500001,100000,41018,0.001154669142,0.001154669142,8147.011099
38311,28300,600001,100000,41018,0.0002735494965,0.0002735494965,94045.81627
39243,28762,500001,100000,41018,0.0001956639564,0.0001956639564,28736.93753
40582,29570,500001,100000,41018,0.001092369757,0.001092369757,112138.3158
41586,30230,800001,100000,41018,0.0002382301512,0.0002382301512,600178.003
42899,31361,700001,100000,41018,0.0008682401637,0.0008682401637,581355.4838
43854,31714,500001,100000,41018,0.0001547685124,0.0001547685124,288047.3649
44167,31921,500001,100000,41018,0.000374621946,0.000374621946,338926.1059
44713,32450,1200001,100000,41018,0.001321530729,0.001321530729,435386.4991
44832,32479,600001,100000,41018,5.85875997e-05,5.85875997e-05,164902.4218
45166,32765,500001,100000,41018,0.000621191887,0.000621191887,302134.8607
45735,33266,500001,100000,41018,0.0002430061783,0.0002430061783,57997.56442
46775,34140,500001,100000,41018,0.0005671287291,0.0005671287291,473928.5139
46976,34267,500001,100000,41018,0.0003618226685,0.0003618226685,488003.4872
47237,34399,800001,100000,41018,0.001055109221,0.001055109221,178977.829
48560,35648,500001,100000,41018,0.0005898410067,0.0005898410067,303278.9595
49262,36001,1100001,100000,41018,0.0009085716916,0.0009085716916,353215.3341
49491,36011,800001,100000,41018,0.0005045441542,0.0005045441542,170935.6718
50024,36111,500001,100000,41018,0.0003504724945,0.0003504724945,119478.8922
50131,36153,500001,100000,41018,4.073737516e-05,4.073737516e-05,522299.9255
50390,36365,500001,100000,41018,0.0002898949349,0.0002898949349,41140.57055
50947,36573,800001,100000,41018,0.0001658417137,0.0001658417137,295445.6158
51254,36792,400001,100000,41018,8.194222502e-05,8.194222502e-05,24321.6973
51697,36876,800001,100000,41018,0.0006128624368,0.0006128624368,733487.2383
53245,37956,600001,100000,41018,0.0001617688998,0.0001617688998,566601.3548
53510,38106,500001,100000,41018,0.0003076021672,0.0003076021672,209856.4415
54165,38280,700001,100000,41018,0.000246303987,0.000246303987,6145.758516
55375,39451,1100001,100000,41018,0.0006927057358,0.0006927057358,640820.1667
55985,39680,900001,100000,41018,0.0006481272043,0.0006481272043,346069.0869
56111,39688,600001,100000,41018,7.034540924e-05,7.034540924e-05,42130.32007
56433,39817,600001,100000,41018,0.0005349950055,0.0005349950055,207456.9015
58761,42096,200001,100000,41018,0.0004840687954,0.0004840687954,742351.0456
60084,43405,900001,100000,41018,0.0003915191957,0.0003915191957,83992.12973
61973,44913,600001,100000,41018,0.0003950750867,0.0003950750867,342664.9038
62180,45052,800001,100000,41018,0.0008389302138,0.0008389302138,540499.6564
62937,45564,800001,100000,41018,0.0003399851058,0.0003399851058,236931.3312
63218,45674,1000001,100000,41018,0.0008773635697,0.0008773635697,1709.273007
