,EV,TS,P,Type,E1,D3,time1
1,14320953,600001,100000,41018,0.0007892756838,0.00741393,552825.3335
11,9669879,600001,100000,41018,8.854744088e-05,8.85474e-05,293530.2106
25,5689124,800001,100000,41018,0.001400500049,0.0014005,71002.7315
34,8903883,1100001,100000,41018,0.0002384344202,0.000238434,200215.6182
40,14630828,1000001,100000,41018,0.0005643152885,0.000564315,598843.16
47,4601755,700001,100000,41018,0.0007965459943,0.000796546,79416.50641
79,76,400001,100000,41018,0.0002076673131,0.000207667,260912.3047
81,8441995,600001,100000,41018,0.002032969498,0.00203297,174378.0017
84,10597665,500001,100000,41018,0.0001953645344,0.000195365,129528.1394
92,8129294,700001,100000,41018,0.0002922515351,0.000292252,67104.37356
98,4145197,500001,100000,41018,0.0001300611036,0.000130061,74086.98194
104,6143934,500001,100000,41018,0.0001101277536,0.000110128,88408.663
108,3532555,1100001,100000,41018,0.002077906166,0.00207791,310080.1832
114,7365219,500001,100000,41018,0.0001448770142,0.000144877,72170.7338
129,1222378,800001,100000,41018,0.001045696566,0.0010457,266624.4969
136,14477461,600001,100000,41018,7.335139809e-06,7.33514e-06,229877.5506
186,5840324,600001,100000,41018,0.0008734929729,0.000873493,408203.2805
206,7209704,900001,100000,41018,0.0003266878613,0.000326688,546403.437
211,2610480,400001,100000,41018,0.0001597051394,0.000159705,111388.0134
214,6608404,500001,100000,41018,0.0001160071586,0.000116007,183496.8773
238,12450764,400001,100000,41018,0.0004705464874,0.000470546,89679.70813
239,1072241,400001,100000,41018,0.0004567616449,0.000456762,496489.7984
241,10753970,600001,100000,41018,0.0005714106883,0.000571411,73699.61099
243,456547,500001,100000,41018,0.0003210267132,0.000321027,568628.2207
246,11676419,800001,100000,41018,0.0005012071012,0.000501207,20192.48987
266,14006105,600001,100000,41018,0.001233924828,0.00123392,256874.1079
270,7976075,500001,100000,41018,0.0001245652883,0.000124565,21377.96943
281,13074025,800001,100000,41018,0.0003205320806,0.000320532,41784.69692
283,7514196,400001,100000,41018,6.577266871e-05,6.57727e-05,363376.9696
303,14477567,500001,100000,37018,0.0002796936541,0.000279694,460860.3941
314,1532364,600001,100000,41018,0.0001596533773,0.000159653,28035.7555
332,11526267,500001,100000,41018,0.0001610043564,0.000161004,326588.9311
335,5991573,800001,100000,41018,0.0001810530843,0.000181053,434652.0848
351,5224866,900001,100000,41018,0.0006391687066,0.000639169,154579.0416
358,3840373,1100001,100000,41018,0.0004954648647,0.000495465,180480.148
362,1997181,700001,100000,41018,0.0008531052503,0.000853105,325138.4536
381,15238377,500001,100000,41018,0.0004034715668,0.000403472,30109.13366
385,7365419,500001,100000,41018,0.0004100353829,0.000410035,53683.92906
393,12607738,600001,100000,41018,0.0001025604874,0.00010256,663560.5563
395,6304669,700001,100000,41018,0.0001704383437,0.000170438,354655.4964
397,4913176,700001,100000,41018,0.001251380346,0.00125138,256088.7382
441,3532681,1000001,100000,41018,0.0008003841619,0.000800384,125678.1626
452,12140060,1400001,100000,41018,0.0006247419601,0.000624742,358063.6019
460,8597568,400001,100000,41018,0.0001972095027,0.00019721,314057.1145
463,4756710,500001,100000,41018,9.200430072e-05,9.20043e-05,203683.2463
466,7668386,600001,100000,41018,0.001204222578,0.00120422,14425.03176
475,7065424,700001,100000,41018,0.0002503237591,0.000250324,340647.587
480,7209717,900001,100000,41018,0.0006067805867,0.000606781,315950.0226
496,14631225,600001,100000,41018,0.0004039590152,0.000403959,66800.9732
499,12450935,400001,100000,41018,0.0006107572489,0.000610757,96795.80068
500,14935005,500001,100000,41018,0.0001480608049,0.000148061,41057.86525
503,3840421,400001,100000,41018,0.0003494253704,0.000349425,409241.766
515,9208868,600001,100000,41018,0.001928065856,0.00192807,205411.3238
517,14781489,700001,100000,41018,0.001364841476,0.00136484,58570.34138
522,450,700001,100000,41018,0.0005041217814,0.000504122,389458.634
523,4602130,900001,100000,41018,0.0009269703898,0.00092697,135929.6558
541,1378248,800001,100000,41018,0.002599240585,0.00259924,448315.4458
544,2920502,900001,100000,41018,0.001696402418,0.0016964,270739.1042
563,3229653,400001,100000,41018,0.0001601732633,0.00132478,518777.6045
568,8442363,900001,100000,41018,9.542559615e-05,9.54256e-05,191179.6043
581,7821371,700001,100000,41018,0.0002047346244,0.000204735,261011.492
582,10906019,800001,100000,41018,0.0001444616381,0.000144462,109232.6048
586,10286492,900001,100000,41018,0.0006311113057,0.000631111,22726.13188
612,1222816,1300001,100000,41018,6.814687026e-05,6.81469e-05,183638.315
619,4447259,600001,100000,41018,0.000149386723,0.000149387,280039.3348
620,2152065,600001,100000,41018,0.000177160985,0.000177161,518517.5451
625,612200,1000001,100000,41018,0.0005774268062,0.000577427,89740.44002
628,3989065,600001,100000,41018,0.0003042341179,0.000304234,596560.1592
649,5991843,500001,100000,41018,4.08593758e-05,4.08594e-05,100461.42
654,8129727,700001,100000,41018,0.0005085829391,0.000508583,371238.4915
664,2302327,1100001,100000,41018,0.001455573178,0.00145557,161550.1973
665,2455681,900001,100000,41018,0.00226996045,0.00226996,63505.81632
679,9825022,400001,100000,41018,6.937041774e-05,6.93704e-05,47081.93958
694,768152,1000001,100000,41018,0.0007781285221,0.000778129,355339.5288
703,11369134,1200001,100000,41018,0.0004360584616,0.000436058,341212.3435
716,11213404,700001,100000,41018,0.001762677834,0.00176268,308946.277
717,7514576,800001,100000,41018,0.0001618298946,0.00016183,70617.22544
726,6909295,1000001,100000,41018,0.0004051380852,0.000405138,265990.3339
727,10906048,600001,100000,41018,0.0001281188872,0.000128119,315444.6416
731,9670369,700001,100000,41018,0.0002187914603,0.000218791,72587.58598
737,1844889,500001,100000,41018,0.0003269300805,0.00032693,54057.50603
738,6457822,1000001,100000,41018,0.0002826240847,0.000282624,319790.2477
743,9516234,900001,100000,41018,0.0002623432737,0.000262343,376580.5433
745,13074267,900001,100000,41018,5.401381529e-05,5.40138e-05,322611.0328
754,5689739,600001,100000,37018,0.0002330801999,0.00023308,13223.31736
778,14006297,1200001,100000,41018,0.000545183359,0.0011427,121817.9572
782,456900,500001,100000,41018,0.0004730819018,0.000473082,293891.6609
817,14478062,400001,100000,41018,0.0002073420929,0.000207342,22614.72153
826,8287138,700001,100000,41018,4.918822077e-05,4.91882e-05,62235.60665
881,3380520,800001,100000,41018,0.0002146761256,0.000214676,58552.94407
884,13074370,800001,100000,41018,0.0002357670147,0.000235767,173385.8719
886,1222918,500001,100000,41018,0.0001499460388,0.000149946,56930.46532
901,3076752,800001,100000,41018,0.0007519521464,0.000751952,308156.0661
915,7976297,500001,100000,41018,0.0005162627916,0.000516263,191181.8981
918,1997693,900001,100000,41018,0.001101053184,0.00110105,278150.7595
921,1072360,700001,100000,41018,0.001151197356,0.0011512,333784.4952
922,4602323,600001,100000,41018,0.0006949094201,0.000694909,120445.1024
927,14321545,700001,100000,41018,0.0009882915309,0.000988292,135928.2354
933,2920728,600001,100000,41018,0.000150195135,0.000150195,931.4947149
938,13233288,800001,100000,41018,0.0001606286161,0.000160629,282300.5246
939,14162010,600001,100000,41018,0.0002318199222,0.000798757,846206.2546
974,11063335,400001,100000,41018,9.252525072e-05,9.25253e-05,28593.06241
982,13540967,700001,100000,41018,0.0007055831824,0.000705583,116346.6168
1000,2611095,900001,100000,41018,0.0001757636448,0.000175764,51602.84983
1001,9365043,400001,100000,37018,0.0005512004629,0.0005512,248690.4703
1004,15088959,1000001,100000,41018,0.0001424700473,0.00014247,330631.4169
1022,13696443,600001,100000,41018,0.0002176907207,0.000217691,28276.41584
1025,6458086,800001,100000,41018,0.003108040206,0.00310804,126620.168
1030,10754573,700001,100000,41018,0.0003840534207,0.000384053,130397.1087
1061,11676933,600001,100000,41018,0.000140741754,0.000140742,70065.69772
1068,5379131,600001,100000,41018,0.000305861722,0.000305862,424686.5487
1073,4757034,400001,100000,41018,3.461255949e-05,3.46126e-05,309917.9725
1092,5074632,600001,100000,41018,0.0003540082445,0.000354008,206341.6777
1117,12608276,1000001,100000,41018,9.655312615e-05,9.86638e-05,407264.3751
1123,5533715,700001,100000,41018,0.0003706740833,0.000370674,110637.6779
1133,14935541,700001,100000,41018,0.0001113490285,0.000111349,105386.4533
1145,9670606,400001,100000,37018,0.0001038181694,0.000103818,516712.3726
1150,10598522,700001,100000,41018,0.0003352541128,0.000335254,37033.06128
1160,8598050,200001,100000,41018,0.0004897592076,0.000489759,57213.34927
1166,4757101,800001,100000,41018,0.0009255445499,0.000925545,157214.494
1176,6909352,1000001,100000,41018,0.001113280364,0.00111328,180465.0524
1180,6458224,700001,100000,41018,0.0007067467987,0.000706747,243170.0931
1213,2763878,800001,100000,37018,0.001176158118,0.00117616,470261.7234
1217,11526945,200001,100000,41018,0.0004888840346,0.000488884,205444.9001
1225,14631466,700001,100000,41018,0.0002875160899,0.000287516,6312.68704
1259,14162284,900001,100000,41018,0.001534790325,0.00153479,623136.0233
1266,10286962,600001,100000,41018,0.0006755320481,0.000675532,3057.737927
1269,9056762,800001,100000,41018,0.0002838569453,0.000283857,343869.7836
1273,13233398,700001,100000,41018,0.0007523705902,0.000752371,745607.8106
1281,148820,600001,100000,41018,0.0001253679939,0.000125368,643987.9271
1284,3840730,1000001,100000,41018,0.00169509799,0.0016951,270702.7187
1289,13541001,800001,100000,41018,0.0005984043476,0.000598404,206797.6318
1290,9981942,500001,100000,41018,0.0001213045026,0.000697026,616181.2392
1295,6305498,200001,100000,41018,0.0004800568844,0.000480057,72984.33268
1297,457125,800001,100000,41018,0.0003387303502,0.00033873,49888.44825
1301,12298332,1000001,100000,41018,0.0008426254702,0.000842625,96626.42462
1304,11063507,600001,100000,41018,0.000256218399,0.000256218,252667.0775
