,EV,TS,P,Type,E1,D3,time1
10,3,1100001,100000,74032,9.3362399e-05,9.3362399e-05,4625.700171
109,4,600001,100000,71032,0.0003679150629,0.0003679150629,2488.02964
169,13,900001,100000,73032,0.0004020536506,0.0004020536506,4187.340886
459,16,800001,100000,74032,5.204847055e-05,5.204847055e-05,42598.85818
645,18,900001,100000,74032,0.0001723596006,0.0001723596006,4431.806397
793,25,1100001,100000,73032,9.657149592e-05,9.657149592e-05,21571.90858
904,26,1200001,100000,74032,9.915557968e-05,9.915557968e-05,18738.55328
1155,32,300001,100000,75032,0.0003083317411,0.0003083317411,15864.26475
1173,36,900001,100000,71032,0.0007783110999,0.0007783110999,34605.25075
1240,38,700001,100000,74032,0.0005560382621,0.0005560382621,10554.24867
1371,39,1000001,100000,74032,0.0002567674229,0.0002567674229,9229.986203
1556,44,400001,100000,75032,7.254669675e-05,7.254669675e-05,636.3774622
1629,47,400001,100000,73032,3.865162181e-05,3.865162181e-05,7583.522747
1708,49,800001,100000,74032,0.0001368051569,0.0001368051569,327.1202267
1852,50,1300001,100000,74032,0.0006251148882,0.0006251148882,43818.23271
2171,51,400001,100000,73032,2.895455046e-05,2.895455046e-05,17038.97711
2215,54,400001,100000,71032,4.009303281e-05,4.009303281e-05,5603.443131
2239,55,800001,100000,71032,0.0002150709407,0.0002150709407,28304.41303
2294,57,800001,100000,74032,0.0004327497791,0.0004327497791,7821.613755
2359,58,700001,100000,74032,0.000229407825,0.000229407825,11178.63786
2399,60,600001,100000,74032,0.0002087007864,0.0002087007864,15800.05072
2638,61,1000001,100000,73032,0.0003703530765,0.0003703530765,11388.69955
2836,62,600001,100000,71032,0.0001030423676,0.0001030423676,4159.726009
3039,64,900001,100000,71032,0.0002689821438,0.0002689821438,13055.37957
3162,78,500001,100000,74032,4.351445515e-05,4.351445515e-05,7794.448639
3169,79,800001,100000,71032,0.0004607330366,0.0004607330366,1288.789722
3243,82,800001,100000,74032,6.114664117e-05,6.114664117e-05,37655.65745
3323,89,600001,100000,73032,8.566258329e-05,8.566258329e-05,11097.64803
3545,91,200001,100000,71032,0.0004211273623,0.0004211273623,12190.2468
3561,92,700001,100000,74032,0.0001700271462,0.0001700271462,1559.983438
3610,97,700001,100000,74032,0.0002373182219,0.0002373182219,11395.10886
3794,98,1100001,100000,74032,0.0005376380588,0.0005376380588,5738.266076
4244,103,400001,100000,73032,2.32768539e-06,2.32768539e-06,660.7147138
4280,107,700001,100000,71032,0.0002945419612,0.0002945419612,40161.42826
4408,115,500001,100000,71032,0.0004190676982,0.0004190676982,25157.02462
4427,116,600001,100000,73032,1.500399301e-05,1.500399301e-05,2254.841606
4499,119,800001,100000,75032,0.0002015516008,0.0002015516008,11279.7267
4568,120,900001,100000,74032,0.0001880681131,0.0001880681131,10590.88474
4706,121,500001,100000,74032,9.647316251e-05,9.647316251e-05,2367.848726
4857,122,1100001,100000,75032,0.0003709738254,0.0003709738254,60839.48501
5061,131,800001,100000,74032,0.0003789064957,0.0003789064957,7047.637122
5143,134,600001,100000,74032,0.0004246936642,0.0004246936642,1245.649535
5211,135,800001,100000,71032,0.0003514299715,0.0003514299715,5616.533242
5233,136,500001,100000,73032,0.0004124554242,0.0004124554242,202.2819804
5317,139,800001,100000,71032,0.0001126842465,0.0001126842465,3947.245685
5695,141,600001,100000,74032,7.858434838e-05,7.858434838e-05,37133.72276
5755,142,400001,100000,71032,4.795402282e-05,4.795402282e-05,1328.559448
5829,143,300001,100000,71032,0.0004146541418,0.0004146541418,3639.156627
5850,144,500001,100000,74032,0.0002189711716,0.0002189711716,9768.382366
5991,145,700001,100000,73032,5.562339055e-05,5.562339055e-05,17433.48515
6253,151,700001,100000,71032,8.072077874e-06,8.072077874e-06,822.4589283
6355,155,600001,100000,74032,7.041065592e-05,7.041065592e-05,12631.32603
6391,157,1100001,100000,74032,0.0001158834941,0.0001158834941,3009.069601
6499,158,500001,100000,73032,4.615591321e-05,4.615591321e-05,4511.139768
6733,163,600001,100000,74032,0.0001939880043,0.0001939880043,2811.310716
6928,165,1100001,100000,74032,0.0004390067681,0.0004390067681,11870.86949
7045,168,500001,100000,71032,2.076497373e-05,2.076497373e-05,4753.451361
7204,174,700001,100000,71032,5.941435273e-05,5.941435273e-05,29528.85864
7355,179,700001,100000,74032,0.0001674491452,0.0001674491452,1030.359926
7400,182,500001,100000,71032,0.0001689615901,0.0001689615901,3338.183353
7545,183,1000001,100000,71032,0.0002620938338,0.0002620938338,568.3279758
7852,188,700001,100000,75032,0.0001618062872,0.0001618062872,6774.181962
7957,191,1000001,100000,73032,0.0001213963754,0.0001213963754,15892.93291
8151,193,600001,100000,71032,0.0002269758837,0.0002269758837,3094.309119
8310,195,200001,100000,71032,0.0004164236376,0.0004164236376,5641.120063
8335,196,400001,100000,73032,0.0002103762796,0.0002103762796,27288.11061
8354,200,900001,100000,71032,0.0001695742267,0.0001695742267,28720.31913
8429,202,800001,100000,73032,0.0001409945472,0.0001409945472,4093.754591
8502,203,600001,100000,71032,1.114946034e-05,1.114946034e-05,8395.925235
8664,204,400001,100000,73032,0.0001493339357,0.0001493339357,1680.11444
8756,210,1200001,100000,71032,7.571401292e-05,7.571401292e-05,15110.08342
8979,211,800001,100000,74032,0.0001510631753,0.0001510631753,42351.71223
9114,212,800001,100000,71032,0.0003515130179,0.0003515130179,14172.28628
9255,213,600001,100000,73032,6.029082907e-05,6.029082907e-05,372.1155645
9310,214,500001,100000,74032,0.0001789505817,0.0001789505817,1711.175222
9350,215,800001,100000,74032,0.0002985108272,0.0002985108272,2076.73773
9394,217,800001,100000,74032,1.325239593e-05,1.325239593e-05,54315.25396
9471,220,700001,100000,71032,4.197090465e-05,4.197090465e-05,2225.564297
9513,221,600001,100000,71032,5.183842104e-05,5.183842104e-05,10698.12987
9647,222,500001,100000,74032,0.0001490576318,0.0001490576318,2392.977159
9684,225,900001,100000,74032,0.0003491438394,0.0003491438394,9594.581866
9748,233,1000001,100000,74032,0.0003652657458,0.0003652657458,30446.43323
9954,235,900001,100000,74032,0.0003955946782,0.0003955946782,6811.58937
10257,237,400001,100000,71032,0.0001012928978,0.0001012928978,8132.891123
10393,241,700001,100000,74032,0.0002717006,0.0002717006,1648.138494
10533,242,1200001,100000,71032,0.0007159082073,0.0007159082073,12989.92839
10676,243,400001,100000,71032,0.0003948271799,0.0003948271799,3068.961534
10695,244,600001,100000,73032,0.0001755824412,0.0001755824412,20832.15297
10842,246,800001,100000,74032,0.0004131506978,0.0004131506978,890.4225976
10862,249,600001,100000,71032,0.0004678989868,0.0004678989868,14962.70709
10969,251,600001,100000,73032,0.0001322793626,0.0001322793626,4305.842207
11000,255,800001,100000,74032,1.938650042e-05,1.938650042e-05,10514.18913
11173,264,500001,100000,74032,0.0007640955127,0.0007640955127,25350.42816
11196,270,800001,100000,74032,0.000157098237,0.000157098237,9130.428623
11332,279,600001,100000,74032,0.0002372552329,0.0002372552329,6317.020398
11533,280,1200001,100000,74032,0.0005849431155,0.0005849431155,35925.82965
11612,281,400001,100000,71032,0.0001590320315,0.0001590320315,23955.65787
11769,282,1500001,100000,71032,0.0004856493376,0.0004856493376,13199.16799
11920,283,600001,100000,74032,0.0001830960195,0.0001830960195,3831.933143
12097,285,1600001,100000,74032,0.0001480895917,0.0001480895917,77914.1451
