,EV,TS,P,Type,E1,D3,time1
1,97891,700001,100000,73032,6.419592661e-05,0.00153881,4294.377657
2,87422,700001,100000,71032,7.523034789e-05,0.000976623,26167.08777
3,77197,1000001,100000,71032,0.0003350036452,0.000884408,13979.30763
4,41250,900001,100000,75032,0.0002414569976,0.000767051,55685.86043
6,56548,1400001,100000,74032,3.681627398e-05,3.68163e-05,61769.32372
10,3,1100001,100000,74032,9.3362399e-05,9.33624e-05,4625.700171
11,66877,1600001,100000,74032,0.0001326245105,0.000132625,21170.02374
81,87429,800001,100000,77032,0.0001396008926,0.000139601,6389.490967
83,10358,500001,100000,71032,0.000382220624,0.000382221,7127.152759
109,4,600001,100000,71032,0.0003679150629,0.000367915,2488.02964
112,25472,600001,100000,71032,3.72047221e-05,3.72047e-05,2930.138643
114,10361,1000001,100000,74032,0.0004870972357,0.000487097,4273.006997
132,46518,700001,100000,75032,0.0005747757354,0.000574776,6126.910925
137,71990,1100001,100000,71032,0.000121019874,0.00012102,80922.32187
139,51445,1300001,100000,74032,0.0002239560693,0.000223956,17044.51108
169,13,900001,100000,73032,0.0004020536506,0.000402054,4187.340886
173,30693,500001,100000,71032,2.509983065e-05,2.50998e-05,18122.58253
175,61776,1000001,100000,74032,0.0002375002308,0.0002375,18042.17695
190,41257,900001,100000,74032,0.0003002644605,0.000300264,16475.29184
191,5154,700001,100000,74032,0.0002524260375,0.000252426,8315.295661
196,66878,700001,100000,74032,0.0002652951062,0.000265295,999.3011054
204,20461,400001,100000,73032,6.920576512e-05,6.92058e-05,8208.201207
205,56549,500001,100000,74032,0.0001450165632,0.000145017,5370.280749
209,46519,400001,100000,71032,0.0001674952948,0.000167495,7041.194826
212,56550,500001,100000,71032,3.687293988e-05,3.68729e-05,5287.222698
231,61795,400001,100000,71032,1.2669394e-05,1.26694e-05,6459.225229
247,5160,800001,100000,71032,4.370470075e-05,4.37047e-05,9826.825823
249,35967,700001,100000,74032,0.001096902522,0.0010969,4553.609741
253,10363,800001,100000,74032,0.0003615104483,0.00036151,8551.321361
261,46522,500001,100000,71032,6.804036818e-05,6.80404e-05,33351.07144
264,15543,900001,100000,74032,8.502068465e-05,8.50207e-05,12965.44725
265,30699,900001,100000,71032,0.0009441444487,0.000944144,8729.41383
271,20470,1000001,100000,74032,8.614698546e-05,8.6147e-05,60942.26005
273,97894,900001,100000,74032,0.0002036694307,0.000203669,12958.13168
278,87430,800001,100000,73032,0.0008625396528,0.00086254,24350.00566
283,25475,200001,100000,73032,0.0003376085413,0.000337609,9918.820831
292,41258,1600001,100000,71032,0.0007867150219,0.000786715,45072.68227
297,25478,600001,100000,74032,5.811571894e-05,5.81157e-05,2406.553753
318,82407,900001,100000,71032,0.000205587568,0.000205588,31245.44037
329,61796,900001,100000,74032,2.949855245e-05,2.94986e-05,6970.176349
356,77207,600001,100000,74032,0.0002355431084,0.000235543,10085.10353
359,82411,500001,100000,71032,0.0001550877748,0.000155088,6738.714985
361,46523,1200001,100000,74032,0.0004276805007,0.000427681,5917.348111
375,71992,900001,100000,74032,0.0011954321,0.00160191,12435.17747
379,10367,1100001,100000,71032,0.000436862248,0.000436862,28200.51288
382,66886,1200001,100000,74032,0.0006274885665,0.000627489,15557.63246
383,56553,400001,100000,75032,0.0002019405605,0.000201941,175.7166074
384,97895,800001,100000,71032,0.000100103022,0.000100103,9261.587927
386,82413,900001,100000,74032,0.0001461631065,0.000146163,15532.05241
392,35975,600001,100000,71032,5.192138992e-05,5.19214e-05,4043.803057
395,5167,700001,100000,74032,0.0002176262759,0.000217626,15829.2807
403,30706,600001,100000,74032,0.0003746196015,0.00037462,16789.09461
417,5171,700001,100000,74032,0.000284135749,0.000284136,29515.33936
423,15549,700001,100000,74032,9.006468726e-05,9.00647e-05,201.2474778
424,92660,200001,100000,74032,0.0007613208537,0.000761321,2068.076331
425,87433,600001,100000,73032,0.0001479174751,0.000147917,8998.235673
443,92665,500001,100000,71032,0.0002181311087,0.000218131,33830.07708
449,35977,800001,100000,73032,0.0001489796189,0.00014898,28015.16305
459,16,800001,100000,74032,5.204847055e-05,5.20485e-05,42598.85818
463,77215,700001,100000,73032,2.249501013e-05,2.2495e-05,1535.666205
467,71997,900001,100000,73032,0.0005621230969,0.000562123,4488.092925
502,51446,700001,100000,71032,0.0003265713012,0.000326571,9354.204097
530,35979,1100001,100000,71032,0.0002283647268,0.000228365,22296.95522
532,97901,1000001,100000,74032,0.001050602649,0.00111867,2423.54871
536,61801,700001,100000,74032,9.140104149e-05,9.1401e-05,3281.676106
541,92675,600001,100000,74032,9.333068957e-05,9.33307e-05,12988.53943
543,41261,500001,100000,71032,1.060234467e-05,1.06023e-05,11327.31716
545,25491,900001,100000,71032,0.0001260593036,0.000126059,31593.70709
555,15557,600001,100000,74032,0.0002841615091,0.000284162,705.7117087
559,77216,600001,100000,74032,0.0003444096311,0.00034441,1724.282819
570,41263,700001,100000,73032,3.800209953e-05,3.80021e-05,5492.874101
573,66888,1000001,100000,74032,0.0006731285384,0.000673129,36923.6134
574,10369,800001,100000,75032,2.819252565e-05,2.81925e-05,5273.061252
586,72000,800001,100000,71032,5.12465439e-05,5.12465e-05,5166.29042
598,30709,1000001,100000,71032,0.0003590776429,0.000359078,3196.158601
605,87435,400001,100000,71032,0.0004123616883,0.000412362,23480.7227
609,5172,500001,100000,71032,8.41275681e-05,8.41276e-05,14808.4701
613,20480,600001,100000,73032,4.257885483e-05,4.25789e-05,441.2170353
618,61804,400001,100000,73032,2.058015293e-05,2.05802e-05,863.7375365
620,56556,400001,100000,71032,0.0005181616708,0.000518162,1770.898735
626,87436,900001,100000,71032,0.001158996566,0.001159,4034.78106
642,61805,600001,100000,71032,0.0001105938383,0.000110594,4375.343324
645,18,900001,100000,74032,0.0001723596006,0.00017236,4431.806397
649,51452,900001,100000,71032,0.0008964838188,0.000896484,3386.151645
661,82417,500001,100000,75032,9.190463208e-05,9.19046e-05,10331.8685
664,15561,900001,100000,74032,0.0004583555263,0.000458356,20441.0687
678,56562,1300001,100000,74032,0.0001838145116,0.000183815,24083.43008
687,61806,500001,100000,71032,0.0001149249359,0.000395934,10208.94347
695,20488,600001,100000,71032,0.0002912203359,0.00029122,7385.644424
703,92687,900001,100000,74032,0.0001040228766,0.000677647,8989.267138
714,72001,800001,100000,73032,0.0001949432469,0.000194943,4738.49099
716,66891,200001,100000,71032,0.0004172387409,0.000417239,1751.125815
719,41273,500001,100000,71032,2.942536289e-05,2.94254e-05,5432.161824
721,61807,400001,100000,77032,4.120358214e-05,4.12036e-05,1753.077076
731,87437,700001,100000,71032,0.0002580957543,0.000258096,9152.784823
746,77217,700001,100000,74032,0.0003748028698,0.000374803,816.4559496
752,66900,800001,100000,74032,0.0001342481104,0.000134248,27917.92132
757,5176,500001,100000,71032,1.706866152e-05,1.70687e-05,9243.666803
763,10372,800001,100000,75032,0.0002032288621,0.000203229,11032.38736
766,72003,200001,100000,71032,0.0004159596944,0.00041596,7482.912441
773,30712,600001,100000,75032,0.0001977385606,0.000197739,19431.12245
777,51459,400001,100000,74032,5.385788815e-05,5.38579e-05,9072.136145
780,35981,1000001,100000,74032,0.0006500535003,0.000650054,18069.37322
787,72004,800001,100000,71032,0.0003109130269,0.000310913,55717.32202
793,25,1100001,100000,73032,9.657149592e-05,9.65715e-05,21571.90858
796,25506,1000001,100000,74032,2.744666102e-05,2.74467e-05,7808.874538
809,77218,1000001,100000,74032,0.0004672354701,0.000467235,7769.983503
812,51460,500001,100000,74032,5.727772948e-05,5.72777e-05,2314.78576
818,97904,1300001,100000,74032,0.0002764956552,0.000276496,2898.374661
822,51462,800001,100000,75032,0.0005312444045,0.000531244,6619.729265
827,61808,700001,100000,75032,0.0006742424677,0.000674242,5985.435643
830,20489,1000001,100000,75032,0.0001263626124,0.000126363,20226.97771
837,15564,700001,100000,73032,0.0002680494134,0.000268049,15534.69196
848,25507,1000001,100000,74032,0.0008913408404,0.00101612,11325.77687
849,82422,500001,100000,71032,0.0001219566853,0.000121957,23975.13059
855,56563,500001,100000,74032,0.0006110425757,0.000611043,780.1416678
860,5179,800001,100000,74032,7.335608602e-05,7.33561e-05,7395.255187
876,46524,600001,100000,71032,0.0001657277725,0.000165728,1531.085541
885,30715,900001,100000,74032,0.001264295779,0.0012643,574.9263231
886,82427,400001,100000,71032,2.149456178e-05,2.14946e-05,2277.185075
901,72007,1100001,100000,74032,0.000501538028,0.000501538,2722.280985
904,26,1200001,100000,74032,9.915557968e-05,9.91556e-05,18738.55328
907,10378,700001,100000,71032,0.0001387331586,0.000138733,19332.43035
918,87439,500001,100000,71032,3.782383248e-05,5.05752e-05,8958.127041
919,92694,800001,100000,71032,0.0003431589468,0.000343159,8382.784078
948,41277,500001,100000,74032,0.0007614711374,0.000761471,3725.235862
954,46528,500001,100000,71032,0.0001428910679,0.000142891,5785.079732
956,15567,700001,100000,74032,0.0001601247114,0.000160125,5140.707336
959,41280,900001,100000,71032,0.0001089261763,0.000108926,2134.801973
963,66903,900001,100000,74032,0.0002540967431,0.000254097,36062.7877
964,77221,600001,100000,74032,0.0001378081505,0.000137808,6787.835292
