,EV,TS,P,Type,E1,D3,time1
7001,6905,600001,100000,21010,0.0008483478565,0.0008483478565,208306.4979
34037,33527,700001,100000,21010,0.001528019255,0.001528019255,643665.2203
40094,39475,600001,100000,21010,0.0006556933917,0.0006556933917,115737.8085
43774,43074,400001,100000,23010,8.998303451e-05,8.998303451e-05,124296.5292
46782,46010,700001,100000,21010,0.000732059142,0.000732059142,190246.3407
57337,56372,800001,100000,21010,0.001322947795,0.001322947795,665863.0331
58052,57076,500001,100000,21010,0.0002797257344,0.0002797257344,2272.130944
77730,76440,600001,100000,21010,0.003609386194,0.003609386194,431549.7101
88653,87201,900001,100000,21010,0.001433597147,0.001433597147,125329.5963
120512,118559,500001,100000,21010,0.0009695862921,0.0009695862921,110774.8972
132676,130544,400001,100000,23010,0.0003643895541,0.0003643895541,336827.4086
149445,146984,1100001,100000,21010,0.002294764914,0.002294764914,710149.7544
165991,163243,600001,100000,21010,0.002691995925,0.002691995925,109249.1218
180352,177367,600001,100000,21010,0.0002877243205,0.0002877243205,88333.16009
197571,194352,800001,100000,21010,0.002142013715,0.002142013715,308739.9987
4513,201172,1000001,100000,21010,0.001024627368,0.001024627368,143005.7085
11862,208406,900001,100000,21010,0.0043753518,0.0043753518,132923.3317
22915,219262,500001,100000,21010,0.0009052811937,0.0009052811937,4563.241932
25376,221694,500001,100000,21010,0.001017381702,0.001017381702,725447.3156
36014,232159,400001,100000,23010,5.893209134e-05,5.893209134e-05,105848.4998
48036,243897,200001,100000,22010,0.00261849808,0.00261849808,405785.9348
86913,282025,700001,100000,21010,0.0008215500425,0.0008215500425,219624.7372
88071,283161,700001,100000,21010,0.0003835017614,0.0003835017614,53385.36157
94810,289812,500001,100000,21010,0.0006596771029,0.0006596771029,411348.2475
100207,295138,600001,100000,23010,0.0006479673838,0.0006479673838,67382.32153
125471,319879,400001,100000,23010,0.0004130154887,0.0004130154887,595754.5765
129405,323707,900001,100000,21010,0.001113745611,0.001113745611,203060.3649
16788,409602,700001,100000,21010,0.000980088834,0.000980088834,259669.8267
42167,434548,600001,100000,21010,0.0002246615093,0.0002246615093,632717.323
45999,438323,500001,100000,23010,0.001005596549,0.001005596549,341610.231
55293,447264,1100001,100000,21010,0.0009844497846,0.0009844497846,199962.6801
63639,455485,500001,100000,21010,0.0001014830605,0.0001014830605,113536.0874
73991,465652,900001,100000,21010,0.0003681247102,0.0003681247102,116927.9838
86260,477696,700001,100000,21010,0.000582997835,0.000582997835,246592.0893
86715,478144,900001,100000,21010,0.0002221163571,0.0002221163571,9201.298254
175826,565740,700001,100000,21010,0.0005476773742,0.0005476773742,476920.2868
184218,574020,400001,100000,21010,0.0003636172637,0.0003636172637,73322.94449
22873,612032,400001,100000,21010,0.0002385365138,0.0002385365138,467165.8134
26517,615627,500001,100000,21010,0.0002621863658,0.0002621863658,20683.8346
26593,615695,1200001,100000,21010,0.002899873564,0.002899873564,17720.0831
34848,623815,500001,100000,21010,0.001445971547,0.001445971547,230413.6646
40556,629437,500001,100000,21010,7.332611375e-06,7.332611375e-06,197079.8795
44166,632979,500001,100000,21010,0.0003355335764,0.0003355335764,210589.7916
55547,644145,500001,100000,21010,0.0002641297608,0.0002641297608,156152.5537
95047,682877,200001,100000,21010,0.001161065172,0.001161065172,78545.56193
96498,684316,200001,100000,21010,0.001168291147,0.001168291147,240049.0795
108776,696385,700001,100000,21010,0.0001826708349,0.0001826708349,416597.1391
130812,718066,1000001,100000,21010,0.003850741903,0.003850741903,319484.7847
135470,722633,500001,100000,23010,0.0005814742121,0.0005814742121,424901.6428
140439,727429,1000001,100000,21010,0.0006264410398,0.0006264410398,133326.5919
173445,759924,600001,100000,21010,0.0008324236915,0.0008324236915,47876.67973
182854,769162,600001,100000,21010,0.000967397051,0.000967397051,163967.2668
194849,780944,900001,100000,21010,0.0008356344669,0.0008356344669,97831.48826
7816,793734,900001,100000,21010,0.002587886835,0.002587886835,435300.617
33690,819218,400001,100000,21010,0.0005357201271,0.0005357201271,541679.1925
74350,859136,600001,100000,22010,0.004328963366,0.004328963366,292520.2686
74800,859571,600001,100000,22010,0.001412649193,0.001412649193,200910.7997
76013,860753,200001,100000,23010,0.0006354172062,0.0006354172062,104635.4793
105426,889619,800001,100000,21010,0.001663253952,0.001663253952,14105.98056
132577,916369,500001,100000,21010,0.001701365826,0.001701365826,536262.9646
156143,939543,800001,100000,21010,0.001983176755,0.001983176755,404082.9358
190115,972976,800001,100000,21010,0.001683758542,0.001683758542,163149.4535
2241,984905,600001,100000,21010,0.0004826698131,0.0004826698131,572538.3924
55055,1036762,600001,100000,21010,0.000955426995,0.000955426995,381393.0521
55078,1036776,700001,100000,21010,0.003915103046,0.003915103046,472781.6644
58437,1040071,600001,100000,21010,0.0002834228871,0.0002834228871,239704.4882
70003,1051424,600001,100000,21010,0.002133214849,0.002133214849,140123.0758
102232,1083095,800001,100000,21010,0.002518212132,0.002518212132,378422.5625
106955,1087759,600001,100000,21010,0.0002468430171,0.0002468430171,343400.4512
114532,1095222,700001,100000,21010,0.001236248433,0.001236248433,107556.3881
115985,1096632,400001,100000,21010,0.0008098807307,0.0008098807307,502074.9889
116440,1097077,800001,100000,21010,0.001565837189,0.001565837189,385382.9308
122440,1102946,600001,100000,21010,0.0005177051975,0.0005177051975,275537.0067
128363,1108755,900001,100000,21010,0.0001857729831,0.0001857729831,254524.2774
132966,1113259,600001,100000,21010,0.0005353870796,0.0005353870796,329767.7502
133345,1113620,900001,100000,21010,0.004354139486,0.004354139486,376454.1266
138792,1118974,700001,100000,22010,0.002097112897,0.002097112897,1317.638546
164110,1143768,800001,100000,21010,0.0004565271026,0.0004565271026,17291.38131
168298,1147876,600001,100000,21010,0.002404860647,0.002404860647,208619.554
172864,1152376,500001,100000,21010,0.001767908074,0.001767908074,202351.0556
182316,1161667,600001,100000,21010,0.001168093891,0.001168093891,359694.3552
212,1179248,700001,100000,21010,0.0004180878882,0.0004180878882,97448.59277
60363,1238414,700001,100000,21010,0.001140309347,0.001140309347,623067.9017
77239,1255007,900001,100000,21010,0.002728248856,0.002728248856,185975.4724
81451,1259135,900001,100000,21010,0.00362202312,0.00362202312,45327.32093
107704,1284947,600001,100000,21010,0.001698441296,0.001698441296,53277.89109
109722,1286920,400001,100000,21010,0.001838334696,0.001838334696,28910.20549
159958,1336342,600001,100000,22010,0.002044476679,0.002044476679,61286.72468
166436,1342709,700001,100000,21010,0.0002903835436,0.0002903835436,43603.15665
166532,1342798,1500001,100000,21010,0.003462897648,0.003462897648,255550.2615
176511,1352585,1000001,100000,21010,0.003264247572,0.003264247572,244346.6959
179243,1355253,600001,100000,21010,0.0009905760305,0.0009905760305,48164.49031
185476,1361369,600001,100000,21010,0.001608834344,0.001608834344,407570.4756
185800,1361681,800001,100000,21010,0.0003051669033,0.0003051669033,180317.5718
7675,1383173,700001,100000,21010,0.0001217825672,0.0001217825672,26093.28236
24620,1399757,900001,100000,21010,0.001687413617,0.001687413617,12057.93982
36466,1411402,600001,100000,21010,0.003537918686,0.003537918686,181866.7977
