,EV,TS,P,Type,E1,D3,time1
16,17087032,800001,100000,21010,0.000175926785,0.000175927,66166.2993
47,2749704,400001,100000,21010,0.000782974063,0.000782974,106316.2373
212,1179248,700001,100000,21010,0.0004180878882,0.000418088,97448.59277
255,16694900,800001,100000,21010,0.0007683378606,0.000768338,27684.86362
298,17677039,900001,100000,21010,0.0007871616754,0.000787162,219952.3273
469,7463812,700001,100000,21010,0.0005946653636,0.000594665,192944.9778
659,12767281,800001,100000,21010,0.0006344831169,0.000634483,370552.2454
665,10999286,800001,100000,21010,0.001016702677,0.0010167,669858.5757
828,6285424,900001,100000,21010,0.005261371392,0.00526137,26577.94014
913,6875123,500001,100000,21010,0.001394843336,0.00139484,18273.30576
960,6678713,500001,100000,21010,0.0001610957067,0.000161096,235805.5761
1045,10803506,600001,100000,22010,0.003255172107,0.00325517,136254.9076
1140,9428557,500001,100000,21010,0.0004404533747,0.000440453,262027.468
1156,15321726,200001,100000,23010,0.0006374848163,0.000637485,162499.1854
1236,11392475,600001,100000,21010,0.0002865232489,0.000286523,203572.8923
1337,18659844,600001,100000,21010,0.0009009495537,0.00090095,321227.7255
1597,3143802,500001,100000,21010,0.001131380377,0.00113138,279838.977
1661,5893320,700001,100000,22010,0.0007773581178,0.000777358,22912.63986
1693,11785963,700001,100000,21010,0.001033942309,0.00103394,19441.17848
1756,5108077,800001,100000,21010,0.004046574776,0.00404657,471089.9765
1979,16500351,500001,100000,21010,0.002519934975,0.00251993,560792.7548
2020,12571838,1000001,100000,21010,0.004435561053,0.00443556,164134.9779
2092,12965180,400001,100000,21010,0.0001039933654,0.000103993,277609.6543
2241,984905,600001,100000,21010,0.0004826698131,0.00048267,572538.3924
2279,17875564,1000001,100000,21010,0.002359633187,0.00235963,410063.8174
2774,8840535,500001,100000,21010,0.001394631483,0.00139463,25292.4187
2896,2948611,600001,100000,21010,0.001660354389,0.00166035,68030.00095
2982,16501334,600001,100000,21010,0.001332010833,0.00133201,304031.6878
3140,11198123,600001,100000,21010,0.0001172899014,0.00011729,41749.01681
3233,19250534,700001,100000,21010,0.005022708389,0.00502271,155504.3488
3297,15912702,200001,100000,21010,0.001158775124,0.00115878,132064.8581
3430,2360721,500001,100000,21010,9.549642926e-05,9.54964e-05,452299.2396
3529,13948528,1200001,100000,21010,0.001873779556,0.00187378,421196.7944
3587,19840364,800001,100000,21010,0.002977150108,0.00297715,203493.6414
3593,8841337,1000001,100000,21010,0.001152108118,0.00115211,322199.5521
3998,19055050,800001,100000,21010,0.003513401412,0.0035134,42325.18074
4164,8056376,200001,100000,21010,0.001179260211,0.00117926,420362.9736
4261,9431603,200001,100000,23010,0.0006268884871,0.000626888,376636.9741
4271,18073967,1000001,100000,21010,0.008111421314,0.00811142,359285.018
4409,18662856,800001,100000,21010,0.000796412696,0.000796413,123363.6467
4465,7664178,200001,100000,21010,0.001179134297,0.00117913,344571.0055
4513,201172,1000001,100000,21010,0.001024627368,0.00102463,143005.7085
4589,4128341,500001,100000,21010,0.0002212485515,0.000221249,55297.69172
4646,9038846,400001,100000,21010,0.0006265657926,0.000626566,430835.6389
4647,4914372,600001,100000,21010,3.971480028e-06,3.97148e-06,1219301.563
5009,3540624,500001,100000,21010,0.0008731498368,0.00087315,151051.6457
5051,15325518,500001,100000,21010,0.0004598716942,0.000459872,288454.0329
5060,18467252,200001,100000,21010,0.001166485301,0.00116649,86859.4507
5217,7861195,800001,100000,22010,0.003312322661,0.00331232,171913.978
5223,13753784,700001,100000,21010,0.003209200693,0.0032092,105961.5229
5257,11986044,600001,100000,21010,0.000499455897,0.000499456,87359.36813
5267,14539786,400001,100000,23010,6.095318085e-05,6.09532e-05,36413.6489
5388,6879530,800001,100000,21010,0.002102332697,0.00210233,189449.3741
5424,2755011,800001,100000,21010,6.39645343e-05,6.39645e-05,248829.8923
5602,18075264,700001,100000,21010,0.001642139143,0.00164214,13531.52493
5698,5308342,800001,100000,21010,0.001203402403,0.0012034,230168.2796
5838,11004334,500001,100000,21010,0.0009710491545,0.000971049,475485.3852
6133,10219221,700001,100000,21010,0.0008125736541,0.000812574,502365.0024
6261,17682903,700001,100000,21010,0.001571725305,0.00157173,65567.41829
6337,9826508,800001,100000,21010,0.001071683663,0.00107168,427177.4765
6648,2363874,600001,100000,21010,0.001864936068,0.00186494,40620.68664
6658,9826820,200001,100000,21010,0.001188038207,0.00118804,436173.2177
7001,6905,600001,100000,21010,0.0008483478565,0.000848348,208306.4979
7530,15524331,900001,100000,21010,0.0006690526361,0.000669053,486038.9329
7534,10220597,700001,100000,21010,0.00163619927,0.0016362,226275.7845
7535,18273150,200001,100000,21010,0.001168323906,0.00116832,383839.9977
7655,10220711,500001,100000,21010,0.001655111956,0.00165511,108445.341
7675,1383173,700001,100000,21010,0.0001217825672,0.000121783,26093.28236
7755,5113969,800001,100000,21010,0.001883683883,0.00188368,20275.54384
7816,793734,900001,100000,21010,0.002587886835,0.00258789,435300.617
7817,4524559,500001,100000,23010,0.0004902503966,0.00049025,296433.116
7830,3543392,400001,100000,21010,0.00011136044,0.00011136,718932.7923
8007,19255235,800001,100000,21010,0.003564697581,0.0035647,733942.9062
8047,14345991,400001,100000,21010,0.0004876402124,0.00048764,261709.7745
8159,3935692,800001,100000,21010,0.0004122812329,0.000412281,238640.7671
8265,13167818,800001,100000,21010,0.0007763243954,0.000776324,92072.403
8331,3150429,900001,100000,21010,0.003560901503,0.0035609,270660.5037
8409,19845094,500001,100000,21010,0.002103584868,0.00210358,237536.0371
8506,9632165,900001,100000,21010,0.002083334398,0.00208333,255076.1917
8532,15525294,600001,100000,21010,0.002921050108,0.00292105,58178.69595
8549,15132369,700001,100000,23010,0.0003339646005,0.000333965,248371.6073
8590,9632240,1000001,100000,21010,0.0006259509449,0.000625951,558264.2765
8876,9239602,800001,100000,21010,0.0008139969555,0.000813997,8574.679261
8902,5508069,900001,100000,21010,0.0004568694994,0.000456869,267649.9512
9058,2562365,800001,100000,21010,0.001534696449,0.0015347,252127.9353
9093,12775569,800001,100000,21010,0.0009066872611,0.000906687,208679.3316
9223,19649442,1100001,100000,21010,0.00203794853,0.00203795,550194.263
10072,7865923,900001,100000,21010,0.0002994411826,0.000299441,90485.43527
10155,18079717,600001,100000,21010,0.0008345067765,0.000834507,73520.67996
10265,1974689,500001,100000,21010,0.0006414730136,0.000641473,379730.4983
10363,8651653,400001,100000,21010,0.0009397835928,0.000939784,335607.0807
10407,19453971,200001,100000,21010,0.001170203913,0.0011702,57653.8258
10726,19454285,500001,100000,21010,0.0003482078481,0.000348208,574502.087
10840,12188029,200001,100000,21010,0.00116892032,0.00116892,627693.6306
11017,16901826,600001,100000,21010,0.001351141913,0.00135114,520974.9078
11029,18276609,400001,100000,21010,0.0007838827068,0.000783883,27190.09369
11060,16313455,600001,100000,21010,2.928093954e-05,2.92809e-05,3690.730759
11154,15331496,700001,100000,21010,0.0007580726581,0.000758073,72958.81184
11192,18080730,400001,100000,21010,0.0004413978554,0.000441398,11162.44115
11264,5510380,500001,100000,21010,0.0002047024407,0.000204702,168113.6154
11409,6885468,500001,100000,21010,0.002093053413,0.00209305,283185.828
11469,19848092,500001,100000,21010,0.0014804625,0.00148046,208153.515
11485,3938953,500001,100000,21010,0.0007319721292,0.000731972,399701.2985
11713,3153739,700001,100000,21010,0.005852507147,0.00585251,347212.1569
11862,208406,900001,100000,21010,0.0043753518,0.00437535,132923.3317
11945,7475101,500001,100000,21010,0.0003031223878,0.000303122,213006.2019
