,EV,TS,P,Type,E1,D3,time1
138,63,500001,100000,29014,7.085557274e-05,7.085557274e-05,6581.42868
347,152,200001,100000,29014,0.001332848973,0.001332848973,3250.597175
364,160,600001,100000,29014,0.0002047454821,0.0002047454821,8689.402164
659,287,200001,100000,29014,0.001325796861,0.001325796861,18394.28325
674,297,400001,100000,29014,0.001342970514,0.001342970514,23896.11058
723,322,400001,100000,29014,0.0006204323957,0.0006204323957,4668.379367
810,363,600001,100000,29014,0.0007839512319,0.0007839512319,4714.582583
884,367,500001,100000,29014,0.0008025130775,0.0008025130775,12578.45326
1123,472,400001,100000,29014,0.000178180551,0.000178180551,11322.5332
1130,474,200001,100000,29014,0.00131860309,0.00131860309,15440.32006
1276,539,700001,100000,29014,0.0003673770987,0.0003673770987,32868.04945
1555,662,200001,100000,29014,0.001331992728,0.001331992728,2499.295113
1566,666,300001,100000,29014,0.001340672085,0.001340672085,5298.535847
1859,787,200001,100000,29014,0.001327152703,0.001327152703,2884.309044
1954,823,500001,100000,29014,0.0008139273232,0.0008139273232,8907.097509
2016,836,500001,100000,29014,0.0007814609836,0.0007814609836,57598.45191
2035,845,300001,100000,29014,0.001328243132,0.001328243132,15785.71359
2045,851,400001,100000,29014,0.0007090144023,0.0007090144023,12498.20143
2188,890,700001,100000,29014,0.001520608794,0.001520608794,23969.01595
2282,926,300001,100000,29014,0.001333825635,0.001333825635,25677.82722
2300,932,300001,100000,29014,0.001322586391,0.001322586391,23734.62737
2359,972,400001,100000,29014,0.0005819246354,0.0005819246354,9698.945566
2424,999,700001,100000,29014,0.00339521516,0.00339521516,32113.57342
2530,1026,200001,100000,29014,0.001342399245,0.001342399245,12838.67414
2684,1117,200001,100000,29014,0.001338012621,0.001338012621,3055.405032
2724,1140,400001,100000,29014,0.0007389281103,0.0007389281103,6352.681542
2822,1159,1300001,100000,29014,0.002462513943,0.002462513943,23086.68664
2970,1199,600001,100000,29014,0.001195757592,0.001195757592,15005.80416
3141,1240,300001,100000,29014,0.001338811021,0.001338811021,11559.68361
3369,1351,300001,100000,29014,0.001322253474,0.001322253474,26838.03921
3651,1488,700001,100000,29014,0.001985307454,0.001985307454,32137.8571
3811,1519,200001,100000,29014,0.001329468087,0.001329468087,4839.108753
3942,1573,400001,100000,29014,8.41393037e-05,8.41393037e-05,27598.26867
4021,1583,600001,100000,31014,9.566908275e-05,9.566908275e-05,12453.33008
4064,1592,700001,100000,29014,0.002579066091,0.002579066091,4299.312667
4131,1621,600001,100000,29014,0.000353984559,0.000353984559,4128.588869
4274,1670,800001,100000,29014,0.0008350367534,0.0008350367534,34969.18402
4314,1679,400001,100000,29014,0.0004743427181,0.0004743427181,17257.42697
4319,1680,500001,100000,29014,0.001216323118,0.001216323118,4589.777573
4363,1691,200001,100000,29014,0.001330883384,0.001330883384,14670.69084
4437,1715,700001,100000,29014,0.001182399436,0.001182399436,2580.238786
4575,1762,400001,100000,29014,0.001322153777,0.001322153777,22415.88959
4583,1763,200001,100000,29014,0.00134238339,0.00134238339,9405.097552
4630,1789,200001,100000,29014,0.001338731827,0.001338731827,346.8828163
4661,1803,400001,100000,29014,0.0007669324118,0.0007669324118,4138.295365
4667,1805,400001,100000,29014,0.0001004199725,0.0001004199725,9212.294224
4819,1869,400001,100000,29014,0.003065813807,0.003065813807,37676.63771
4949,1919,200001,100000,29014,0.001345413676,0.001345413676,2722.722
5092,1960,200001,100000,29014,0.001342950999,0.001342950999,1283.588419
5206,2005,200001,100000,29014,0.001335364241,0.001335364241,16802.08454
5294,2049,500001,100000,29014,0.0007238654686,0.0007238654686,12125.40682
5326,2055,200001,100000,29014,0.001336946497,0.001336946497,8397.21761
5397,2089,300001,100000,29014,0.001343725982,0.001343725982,14448.06094
5428,2103,200001,100000,29014,0.001325560459,0.001325560459,7249.680071
5443,2110,400001,100000,29014,0.001337594491,0.001337594491,21121.54839
5518,2144,300001,100000,29014,0.001333295215,0.001333295215,21340.48527
5562,2165,800001,100000,29014,0.0005003005101,0.0005003005101,14184.04808
5709,2210,700001,100000,29014,0.0004133582562,0.0004133582562,7159.947718
5789,2219,400001,100000,29014,0.0004346842603,0.0004346842603,723.6044834
5942,2293,500001,100000,29014,0.0002821976248,0.0002821976248,21472.1587
6052,2347,500001,100000,29014,0.000680795476,0.000680795476,3712.237617
6141,2372,500001,100000,29014,0.001723750714,0.001723750714,3250.007844
6227,2387,300001,100000,29014,0.001345169574,0.001345169574,13767.18741
6422,2478,200001,100000,29014,0.001338031397,0.001338031397,993.1310884
6470,2482,300001,100000,29014,0.001341232865,0.001341232865,8671.921875
6501,2494,500001,100000,29014,0.0007024030628,0.0007024030628,8427.419368
6604,2519,400001,100000,29014,0.001341495695,0.001341495695,45361.40256
6803,2556,200001,100000,29014,0.001313037992,0.001313037992,37112.7447
6860,2586,200001,100000,29014,0.001330736621,0.001330736621,25808.5334
6995,2589,300001,100000,29014,0.001335134212,0.001335134212,8486.249111
7216,2677,800001,100000,29014,0.002318791717,0.002318791717,13851.74379
7623,2727,800001,100000,29014,0.00392487064,0.00392487064,14822.96192
7710,2770,800001,100000,29014,0.002691336435,0.002691336435,4330.282886
7971,2852,300001,100000,31014,0.0007558424565,0.0007558424565,13167.52963
8033,2868,500001,100000,29014,0.0001818460255,0.0001818460255,240.7497222
8052,2875,200001,100000,29014,0.001329713893,0.001329713893,26406.30221
8242,2972,500001,100000,29014,0.001251952294,0.001251952294,37257.44607
8252,2973,900001,100000,29014,0.0004363103803,0.0004363103803,26201.32512
8280,2986,700001,100000,29014,0.001191732011,0.001191732011,3560.474042
8376,2989,200001,100000,29014,0.001334664312,0.001334664312,9477.906789
8708,3123,200001,100000,30014,0.002021395898,0.002021395898,27558.7077
8874,3203,400001,100000,29014,8.024998779e-05,8.024998779e-05,18588.58271
8926,3206,800001,100000,29014,0.0006820674948,0.0006820674948,17460.99872
9074,3222,200001,100000,29014,0.001326696775,0.001326696775,4618.948908
9209,3285,200001,100000,30014,0.002025334541,0.002025334541,2700.952071
9366,3346,200001,100000,29014,0.001330298072,0.001330298072,16235.74688
9423,3373,200001,100000,29014,0.001329992273,0.001329992273,5531.104997
