,EV,TS,P,Type,E1,D3,time1
1,345816,900001,100000,29014,0.002518181953,0.00670627,15059.76859
2,625058,700001,100000,29014,0.001028658365,0.0023696,12011.33381
6,906385,200001,100000,29014,0.001339619719,0.00133962,19926.57051
12,696134,400001,100000,29014,0.001325497523,0.0013255,15517.84905
19,906390,400001,100000,29014,0.0004490904998,0.00044909,10408.89782
26,906391,300001,100000,29014,0.001318901011,0.0013189,33998.33812
29,414948,600001,100000,29014,6.71429952e-05,6.7143e-05,69856.16491
32,696142,400001,100000,29014,0.0005744692391,0.000574469,7494.857884
47,836721,500001,100000,29014,0.001236590385,0.00123659,6283.437081
51,138353,900001,100000,29014,0.002916392331,0.00291639,23988.78488
52,766942,700001,100000,29014,0.002469664752,0.00246966,26746.80095
64,976195,600001,100000,29014,2.512037795e-05,2.51204e-05,13218.03592
84,555630,200001,100000,29014,0.001342166969,0.00134217,1197.253909
93,836737,200001,100000,29014,0.001332336383,0.00297645,964.7056417
98,345819,600001,100000,29014,0.0001517341158,0.000151734,24342.02554
106,836742,1100001,100000,29014,0.0004552190746,0.000455219,1711.627318
113,207423,500001,100000,29014,0.0008829141301,0.000882914,9609.54011
118,766962,700001,100000,29014,0.001726359449,0.00306449,14818.28804
134,696180,500001,100000,30014,0.000724026957,0.000724027,8676.836434
138,63,500001,100000,29014,7.085557274e-05,7.08556e-05,6581.42868
166,207450,900001,100000,29014,0.0005853420004,0.000585342,4677.319763
171,68767,600001,100000,29014,0.001346549604,0.00134655,6114.062482
172,555670,600001,100000,29014,0.0006156211408,0.000615621,36680.89263
174,415008,700001,100000,29014,0.0006655142244,0.000665514,76111.37558
177,278058,500001,100000,29014,0.0007625916315,0.000762592,4063.873957
189,976230,600001,100000,29014,0.001347005548,0.00134701,38167.55218
197,836762,500001,100000,29014,0.001785888051,0.00178589,14043.62333
202,976233,400001,100000,29014,0.001269457802,0.00126946,986.5525525
217,345863,500001,100000,29014,0.0006269433996,0.000626943,19962.16924
223,625093,200001,100000,29014,0.001338526292,0.00133853,7446.924706
230,138392,400001,100000,29014,0.001336160358,0.00133616,25104.22031
244,766976,500001,100000,29014,0.001260652316,0.00126065,36758.97617
254,906502,300001,100000,29014,0.001318480243,0.00131848,30842.48086
261,836792,200001,100000,29014,0.001338666595,0.00133867,179.7218554
264,485084,600001,100000,29014,0.0002742406109,0.000274241,6583.97136
265,207463,400001,100000,29014,0.002693048705,0.00269305,2633.129118
277,696228,800001,100000,29014,0.002032154897,0.00247917,29839.33393
280,207464,300001,100000,29014,0.001334896607,0.0013349,5330.613037
292,207468,600001,100000,29014,0.0003687665066,0.000368767,55240.93398
299,68795,400001,100000,29014,0.000922526497,0.000922526,8888.677863
310,485094,900001,100000,29014,0.0004976030675,0.000497603,57262.58341
315,625127,800001,100000,29014,0.000408549058,0.000408549,18634.41153
319,906524,600001,100000,29014,0.000813087389,0.000813087,11487.17366
320,138439,200001,100000,29014,0.001329001024,0.001329,1766.786264
330,976272,200001,100000,29014,0.001323500396,0.0013235,532.5591476
333,278098,600001,100000,29014,0.0002091846187,0.000209185,15342.42084
336,138446,200001,100000,29014,0.001330154004,0.00133015,15771.57062
340,976276,200001,100000,29014,0.001345946079,0.00268535,13930.23979
347,152,200001,100000,29014,0.001332848973,0.00133285,3250.597175
350,138451,200001,100000,29014,0.001336560493,0.00133656,1616.714951
359,485114,200001,100000,29014,0.001314236752,0.00131424,6925.953624
362,345912,600001,100000,29014,0.0007925574465,0.00211824,5578.096266
364,160,600001,100000,29014,0.0002047454821,0.000204745,8689.402164
376,696257,200001,100000,29014,0.001312731089,0.00131273,9764.696599
379,485120,800001,100000,31014,0.0009763733068,0.000976373,27613.16387
382,696260,200001,100000,29014,0.001324360322,0.00132436,29917.17218
384,138463,800001,100000,29014,0.0002085759292,0.000208576,55830.07454
385,836859,200001,100000,29014,0.001326763675,0.00132676,7307.287014
387,555758,200001,100000,29014,0.001328924758,0.00132892,7332.521725
389,696263,300001,100000,29014,0.001333161787,0.00133316,75014.19217
390,836862,600001,100000,29014,0.001024806861,0.00102481,38238.93032
395,555761,700001,100000,29014,0.0003806841961,0.000380684,49092.64997
397,976289,400001,100000,30014,9.140152439e-05,9.14015e-05,8782.557827
403,278128,400001,100000,29014,8.646254142e-05,8.64625e-05,1432.072796
407,625173,400001,100000,29014,0.002544689999,0.00254469,10351.73104
430,415086,300001,100000,29014,0.001345368995,0.00134537,24611.69293
432,68858,600001,100000,30014,0.001844704226,0.0018447,15984.46919
440,906578,600001,100000,29014,9.88747294e-05,9.88747e-05,26006.46008
456,767077,400001,100000,29014,0.000783143946,0.000783144,5116.984683
464,68862,700001,100000,29014,0.001779723718,0.00177972,10371.73624
465,138497,300001,100000,29014,0.001329622228,0.00132962,32840.93298
466,906585,400001,100000,30014,0.0001046469672,0.000104647,16331.16492
470,138498,400001,100000,29014,0.002067326411,0.00206733,8223.70537
473,555796,600001,100000,29014,0.0007162410708,0.000716241,1433.043928
496,696314,200001,100000,29014,0.001339531121,0.00267514,953.6617002
509,415127,200001,100000,29014,0.00132411526,0.00132412,21673.28957
514,625216,400001,100000,29014,0.0008240577011,0.000824058,3371.18307
